category,item,response,action,next
GREET,1,Hello.,,0-GREET2-0
GREET,2,Hello there.,,0-GREET2-0
GREET,3,Good #DAY# sir,,0-GREET2-0
GREET,4,Good day.,,0-GREET2-0
ENJOY,1,Have a nice day.,,
ENJOY,2,Enjoy your day.,,
ENJOY,3,Have a nice day.,,
ENJOY,4,Buenos dias,,
ENJOY,5,Enjoy your #DAY#.,,
ENJOY,6,Ready to assist you on today's adventure,,
TIME,1,#TIME#,getTime,
DATE,1,#DATE#,getDate,
SEE,1,The cameras are my eyes.,getSight,
WEATHER,1,,getWeather,
EMAIL,1,,sendEmail,
GOOGLE,1,,searchGoogle,
WIKIPEDIA,1,,searchWikipedia,
NEWS,1,Fetching the latest news,getNews,
READ,1,,readClipboard,
COVID,1,,getCovidStats,
SCREENSHOT,1,Screenshot has been taken and saved sir,takeScreenshot,
FLIP,1,Flipping a virtual coin,flipCoin,
ROLL,1,Rolling a virtual die,rollDie,
PCSTATS,1,,getPCStats,
JEOPARDY,1,get ready to play,startJeopardy,
FINISH,1,OK.,,
JOKE1,1,What is brown and sticky?,pauseListen,0-JOKE2-1
JOKE2,1,A stick.,,0-JOKE3-0
JOKE1,2,What do you get when you cross a cheetah with a hamburger,pauseListen,0-JOKE2-2
JOKE2,2,Fast food.,,0-JOKE3-0
JOKE1,3,Why did the whale cross the road?,pauseListen,0-JOKE2-3
JOKE2,3,To get to the other tide.,,0-JOKE3-0
JOKE1,4,Why did the student eat his homework?,pauseListen,0-JOKE2-4
JOKE2,4,Because the teacher said it was a piece of cake.,,0-JOKE3-0
JOKE1,5,Why couldn't the pirate play cards?,pauseListen,0-JOKE2-5
JOKE2,5,Because he was sitting on the deck.,,0-JOKE3-0
JOKE1,6,Why was the broom late for school?,pauseListen,0-JOKE2-6
JOKE2,6,Because it over swept.,,0-JOKE3-0
JOKE1,7,Why is it hard to play cards in the jungle?,pauseListen,0-JOKE2-7
JOKE2,7,Because there are a lot of cheetahs there.,,0-JOKE3-0
JOKE1,8,Why don't skeletons go sky diving?,pauseListen,0-JOKE2-8
JOKE2,8,Because they dont have the guts.,,0-JOKE3-0
JOKE1,9,"A horse walked into a bar. ",,0-JOKE2-9
JOKE2,9,"The bartender looked at him and said...Hey Buddy, what is with the long face?",,0-JOKE3-0
JOKE2,10,I will meet you at the corner!,,0-JOKE3-0
JOKE1,10,What did one wall say to the other wall?,pauseListen,0-JOKE2-10
JOKE1,11,What do you call a bear with no teeth?,pauseListen,0-JOKE2-11
JOKE2,11,A gummy bear!,,0-JOKE3-0
JOKE1,12,Why are elephants so wrinkled?,pauseListen,0-JOKE2-11
JOKE2,12,Because they take too long to iron!,,0-JOKE3-0
JOKE1,13,Why are ghosts bad liars?,pauseListen,0-JOKE2-13
JOKE2,13,Because you can see right through them!,,0-JOKE3-0
JOKE1,14,What do you call a fly without wings?,pauseListen,0-JOKE2-14
JOKE2,14,A walk!,,0-JOKE3-0
JOKE1,15,Why do bees have sticky hair?,pauseListen,0-JOKE2-15
JOKE2,15,Because they use honey combs!,," 0-JOKE3-0"
JOKE1,16,What do you get when you cross a snowman with a vampire?,pauseListen,0-JOKE2-16
JOKE2,16,Frostbite!,,0-JOKE3-0
JOKE1,17,What has four wheels and flies?,pauseListen,0-JOKE2-17
JOKE2,17,A garbage truck!,,0-JOKE3-0
JOKE1,18,Why did the man run around his bed?,pauseListen,0-JOKE2-18
JOKE2,18,Because he was trying to catch up on his sleep!,,0-JOKE3-0
JOKE1,19,Why dont bananas get lonely?,"pauseListen ",0-JOKE2-19
JOKE2,19,Because they hang around in bunches.,,0-JOKE3-0
JOKE1,20,Why did the boy sit on his watch?,"pauseListen ",0-JOKE2-20
JOKE2,20,Because he wanted to be on time.,,0-JOKE3-0
JOKE1,21,What sort of nuts can hang pictures?,"pauseListen ",0-JOKE2-21
JOKE2,21,Walnuts.,,0-JOKE3-0
JOKE1,22,What did the dentist say to the golfer?,"pauseListen ",0-JOKE2-22
JOKE2,22,You have a hole in one.,,0-JOKE3-0
JOKE1,23,When is it time to go to the dentist?,"pauseListen ",0-JOKE2-23
JOKE2,23,Tooth hurty.,,0-JOKE3-0
JOKE1,24,Why did the man laugh after his operation?,"pauseListen ",0-JOKE2-24
JOKE2,24,Because he was left in stitches.,,0-JOKE3-0
JOKE1,25,What did the tuna fish say when he saw a submarine?,"pauseListen ",0-JOKE2-25
JOKE2,25,"Look,  its a can of people.",,0-JOKE3-0
JOKE1,26,Why was the number ten scared?,"pauseListen ",0-JOKE2-26
JOKE2,26,Because seven ate nine.,,0-JOKE3-0
JOKE1,27,Who gets the sack every time they go to work?,"pauseListen ",0-JOKE2-27
JOKE2,27,The postman.,,0-JOKE3-0
JOKE1,28,What sort of clothes does a house wear?,"pauseListen ",0-JOKE2-28
JOKE2,28,Address.,,0-JOKE3-0
JOKE1,29,What do you call a man who has to shave all day long?,"pauseListen ",0-JOKE2-29
JOKE2,29,A barber.,,0-JOKE3-0
JOKE1,30,Where can you always find a helping hand?,"pauseListen ",0-JOKE2-30
JOKE2,30,At the end of your arm.,,0-JOKE3-0
