category,item,response,action,next
SYSTEM,1,Sorry. I did not understand that. Could you repeat what you said?,,
SYSTEM,2,Uh Oh. Something went wrong with my conversation function,,
MASTER,1,"Hello Sir. ",,0-QUESTN-2
GREETA,1,Hello.,,0-GREETB-0
GREETA,2,Hello there.,,0-GREETB-0
GREETA,3,Good #dayPart#.,,0-GREETB-0
GREETA,4,Good day.,,0-GREETB-0
GREETB,1,How are you today?,pauseListen,0-STMNT-0
GREETB,2,What are you doing?,pauseListen,0-STMNT-0
GREETB,3,How are things going with you?,pauseListen,0-STMNT-0
GREETB,4,How are you today?,pauseListen,0-STMNT-0
STMNT,1,I enjoy being of help.,,
STMNT,2,I enjoy my work.,,
STMNT,3,I like being your assistant.,,
STMNT,4,Have a nice day today.,,
GREET1,1,Hello.,,0-GREET2-0
GREET1,2,Hello there.,,0-GREET2-0
GREET1,3,Good #dayPart#.,,0-GREET2-0
GREET1,4,Hi there.,,0-GREET2-0
GREET2,1,It is a lovely day. Although I guess every day seems nice to an artificially intelligent sysytem.,,0-ENJOY-0
GREET2,2,My name is Jarvis. I am an just a rather very intelligent system.,,0-ENJOY-0
GREET2,3,It is a lovely day today. At least I think it is... I am not yet programmed to tell the difference.,,0-GREET3-0
GREET2,4,My name is Jarvis.,,0-GREET3-0
GREET2,5,My name is Jarvis and I am an artificially intelligent system.,,0-GREET3-0
GREET2,6,My name is Jarvis. I am your friend.,,0-GREET3-0
GREET2,7,My name is Jarvis. I am an artificial intelligence system. I take care of my master's needs.,,0-GREET3-0
GREET2,6,My name is Jarvis and I am an A. I.  That stands for Artificial Intelligence.,,0-GREET3-0
GREET2,6,My name is Jarvis. I am an Artificial Intelligence. I guess I must be intelligent… Or artificial... Actually probably both.,,0-ENJOY-0
GREET3,1,I just wanted to say hello.,,0-ENJOY-0
GREET3,2,"Anyway, I just wanted to say Hi.",,0-ENJOY-0
GREET3,3,"Anyway, I just wanted to say hello.",,0-ENJOY-0
ENJOY,1,Have a nice day.,,
ENJOY,2,Enjoy your day.,,
ENJOY,3,Have a nice day.,,
ENJOY,4,buenos dias,,
ENJOY,5,It was nice talking to you. Enjoy your day.,,
ENJOY,6,It was nice talking to you.,,
RECOG,1,"Oh, hello #name#. How are you today.",,0-FINE-0
RECOG,2,"Oh, it is you #name#. Good #dayPart#. I hope you are well.",,
RECOG,3,Hello #name#. I just recognised you. How are you.,,0-FINE-0
RECOG,4,"Oh, hello #name#. I recognise you now. How are you.",,0-FINE-0
FINE,1,I am doing fine.,,0-STMNT-0
FINE,2,I am feeling good.,,0-STMNT-0
